Andreas Aronsson pk01-14 2001-dec-06 14:31
5720000037107 23.5 flaska 115.0 30.0 ajax,allrengöring
5720000135087 13.5 flaska 20.0 20.0 ajax,fönsterputs
7310400001211 27.0 flaska 6.0 6.0 apelsindryck
3051800800830 13.0 l 20.0 20.0 apelsinjuice,1l
7310500021218 24.0 burk 10.0 10.0 apelsinmarmelad,1000g
5762385039321 15.4 paket 3.0 3.0 bacon,skivad,140g
7392027001058 8.9 paket 50.0 13.0 bakformar,230st
7300100540516 15.1 burk 3.0 3.0 bakpulver,225g
7313902800658 18.5 rör 65.0 18.0 c-vitamin
7041116942009 30.5 burk 4.0 4.0 chokladströssel,160g
4009900006606 8.98 påse 195.0 50.0 extra,tuggummi
7393263040092 30.4 paket 7.0 7.0 falukorv,1000g
7310130321184 16.8 paket 2.0 2.0 fiberhavregryn,800g
7311080046158 17.5 paket 7.0 7.0 fiberkakor,8-pack
5000396001815 7.9 påse 35.0 35.0 fingerMarie,200g
7311440060725 20.6 paket 2.0 2.0 flatbröd,300g
7310340114002 15.7 paket 27.0 7.0 florsocker,500g
7391268198848 20.5 rör 15.0 15.0 förkylningsbrus
7310130001642 30.6 paket 3.0 3.0 havrekli,850g
7310155800251 50.4 burk 3.0 3.0 hovmästarsås,300g
6410500095484 38.0 paket 19.0 5.0 hushållsknäcke,250g
7310300000529 15.3 paket 2.0 2.0 hönsbuljong,12st
8715000930175 4.7 paket 18.0 5.0 jozo,1kg
7310700817055 40.0 paket 46.0 14.0 kanel,malen,100g
7310700812814 25.0 paket 8.0 8.0 kanel,malen,50g
7300400101462 13.8 paket 2.0 2.0 kanelknäcke,250g
7311170031149 25.0 tub 5.0 5.0 kaviar,300g
8715700016504 30.7 flaska 49.0 13.0 ketchup,1000g
7300190308102 16.8 påse 6.0 2.0 kokosflingor,200g
7310700665588 20.1 tub 41.0 12.0 kolasås,300g
7310710817855 15.6 paket 5.0 5.0 köttbuljong,12st
7392022013032 6.9 paket 35.0 9.0 köttbuljong,12st
8076800376999 11.4 paket 20.0 20.0 lasagne,500g
6415402274005 18.5 flaska 15.0 15.0 len,mjukmedel,2l
7310390011740 26.8 paket 5.0 5.0 leverpastej,200g
7393061001165 7.98 paket 61.0 20.0 lättmjölk,1.5l
7310860005941 12.9 paket 66.0 19.0 lättochlagom,600g
7300190062769 20.7 burk 4.0 4.0 majskorn,340g
7393544006120 25.9 paket 6.0 6.0 mandelmassa,500g
7393544001316 16.7 paket 4.0 4.0 margarin,1000g
6411404035927 7.5 påse 120.0 35.0 marianne
7310865001498 6.0 l 50.0 50.0 minimjölk,1l
7310388011740 25.0 paket 6.0 6.0 nytta,400g
4013197765221 16.5 burk 20.0 20.0 orange&lemon,drops
5701103676493 30.0 påse 3.0 3.0 popcorn,900g
7310160000158 40.5 paket 5.0 5.0 potatismjöl,500g
7310186055705 12.9 paket 4.0 4.0 riskakor,130g
7300190600565 40.0 burk 3.0 3.0 russin,500g
7310610091507 5.3 burk 5.0 5.0 seltin,90g
7310430000352 36.8 flaska 5.0 5.0 senap,original,490g
7310340123509 10.5 flaska 6.0 6.0 sirap,ljus,600g
7310340113234 10.0 flaska 15.0 4.0 sirap,mörk,600g
2000101426325 129.0 kg 3.76 1.0 skinka,skivad
7311440022532 15.4 paket 15.0 4.0 skinkost,400g
8714789002309 21.5 flaska 25.0 25.0 softlan,sköljmedel,2l
7310865000071 11.0 paket 20.0 20.0 standardmjölk,2l
7310340002279 15.5 paket 37.0 10.0 strösocker,2kg
7311080060048 20.9 paket 11.0 3.0 thekakor,18-pack
3017760301596 8.9 påse 15.0 15.0 tucCrackers,100g
7330688000126 15.9 påse 20.0 6.0 tuggummi,45bitar
7300100540523 20.5 burk 6.0 6.0 vanillinsocker,140g
7393263010040 30.7 paket 7.0 7.0 veg.ärtsoppa,500g
7300100100956 8.1 påse 8.0 8.0 vetemjöl,2kg
7310780003454 5.9 påse 20.0 20.0 viollakrits
7310865003294 15.5 paket 8.0 8.0 vispgrädde,3dl
7300400436304 15.0 paket 3.0 3.0 wasaplus,250g
7310060900302 11.6 paket 55.0 15.0 ägg,6pack
